순위,제목,가수,장르
1,밤양갱,비비 (BIBI),R&B/Soul
2,첫 만남은 계획대로 되지 않아,TWS (투어스),댄스
3,나는 아픈 건 딱 질색이니까,(여자)아이들,댄스
4,Love wins all,아이유,발라드
5,EASY,LE SSERAFIM (르세라핌),랩/힙합
6,To. X,태연 (TAEYEON),R&B/Soul
7,비의 랩소디,임재현,발라드
8,홀씨,아이유,랩/힙합
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),발라드
10,Love 119,RIIZE,댄스
11,Perfect Night,LE SSERAFIM (르세라핌),댄스
12,에피소드,이무진,록/메탈
13,천상연,이창섭,발라드
14,헤어지자 말해요,박재정,발라드
15,Drama,aespa,댄스
16,인사,범진,"발라드, 인디음악"
17,Smart,LE SSERAFIM (르세라핌),R&B/Soul
18,Shopper,아이유,록/메탈
19,꿈,태연 (TAEYEON),"발라드, 국내드라마"
20,예뻤어,DAY6 (데이식스),록/메탈
21,Super Lady,(여자)아이들,댄스
22,I AM,IVE (아이브),댄스
23,한 페이지가 될 수 있게,DAY6 (데이식스),록/메탈
24,MANIAC,VIVIZ (비비지),댄스
25,Seven (feat. Latto) - Clean Ver.,정국,댄스
26,Wife,(여자)아이들,댄스
27,너의 모든 순간,성시경,"발라드, 국내드라마"
28,Love Lee,AKMU (악뮤),댄스
29,사랑인가 봐,멜로망스,"발라드, 국내드라마"
30,Get A Guitar,RIIZE,댄스
31,사막에서 꽃을 피우듯,우디 (Woody),발라드
32,Hype Boy,NewJeans,댄스
33,사랑은 늘 도망가,임영웅,"발라드, 국내드라마"
34,Baddie,IVE (아이브),댄스
35,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,발라드
36,Super Shy,NewJeans,댄스
37,퀸카 (Queencard),(여자)아이들,댄스
38,You & Me,제니 (JENNIE),댄스
39,Ditto,NewJeans,댄스
40,사건의 지평선,윤하 (YOUNHA),록/메탈
41,후라이의 꿈,AKMU (악뮤),포크/블루스
42,사랑할 수밖에,볼빨간사춘기,"발라드, 인디음악"
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드
44,ETA,NewJeans,댄스
45,사랑하지 않아서 그랬어,임한별,발라드
46,심(心),DK(디셈버),록/메탈
47,그대가 내 안에 박혔다(그내박),순순희(기태),"발라드, 인디음악"
48,취중고백,김민석,발라드
49,주저하는 연인들을 위해,잔나비,"인디음악, 록/메탈"
50,사랑..그게 뭔데,지아,발라드
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마"
52,Spicy,aespa,댄스
53,I Don't Think That I Like Her,Charlie Puth,POP
54,해요 (2022),#안녕,"발라드, 인디음악"
55,LOVE DIVE,IVE (아이브),댄스
56,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,발라드
57,봄날,방탄소년단,랩/힙합
58,다정히 내 이름을 부르면,경서예지,발라드
59,Kitsch,IVE (아이브),댄스
60,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),댄스
61,별 떨어진다 (I Do),도경수(D.O.),발라드
62,"Steal The Show (From ""Elemental"")",Lauv,"POP, 애니메이션/웹툰, 키즈"
63,물론,허각,발라드
64,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),R&B/Soul
65,After LIKE,IVE (아이브),댄스
66,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),댄스
67,Dangerously,Charlie Puth,POP
68,관객이 될게 (I stan U),아이유,록/메탈
69,우리들의 블루스,임영웅,발라드
70,손오공,세븐틴 (SEVENTEEN),댄스
71,Standing Next to You,정국,댄스
72,OMG,NewJeans,댄스
73,모래 알갱이,임영웅,발라드
74,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),댄스
75,Dynamite,방탄소년단,댄스
76,Discord,QWER,록/메탈
77,WAY 4 LUV,PLAVE,록/메탈
78,"그대가 있는 곳, 언제 어디든",로이킴,"발라드, 국내드라마"
79,첫 눈,EXO,발라드
80,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),댄스
81,음악의 신,세븐틴 (SEVENTEEN),댄스
82,다시 만날 수 있을까,임영웅,발라드
83,Fast Forward,전소미,댄스
84,이제 나만 믿어요,임영웅,성인가요/트로트
85,Do or Die,임영웅,댄스
86,Butter,방탄소년단,댄스
87,무지개,임영웅,록/메탈
88,Attention,NewJeans,댄스
89,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,랩/힙합
90,봄이 와도,로이킴,발라드
91,아버지,임영웅,발라드
92,London Boy,임영웅,록/메탈
93,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,R&B/Soul
94,Polaroid,임영웅,록/메탈
95,나에게 그대만이,탑현,발라드
96,Watch Me Woo!,PLAVE,록/메탈
97,인생찬가,임영웅,발라드
98,우리 영화,PLAVE,랩/힙합
99,Bubble,STAYC(스테이씨),댄스
100,From,PLAVE,발라드
